,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,La Product Conf & LPCx España,@LaProductConfES,2022-06-14T16:18:58.000Z,"La Product Conf & LPCx España
@LaProductConfES
·
14 jun.","Aquí estamos  a punto de comenzar #LPCxMAD con 
@MercadonaTech
 en 
@TheBridge_Tech
Ga-na-zas!! 
1
1
4",😊 🙌,1,1,4,['https://pbs.twimg.com/media/FVOdWusWQAEu5sz?format=jpg&name=small'],https://twitter.com/LaProductConfES/status/1536745017036918793
1,Heavy Mental,@HeavyMental_es,2022-06-13T11:33:09.000Z,"Heavy Mental
@HeavyMental_es
·
13 jun.","Lo prometimos y han llegado gracias a 
@TheBridge_Tech
 ... últimas entradas para el podcast 27 en directo :D

cc 
@Atorrerus
 @Mulder01198676
 @joansabater
 @PesetJairo
 @pelayoarbues
 @adriskou
 @estodopornada
The Bridge
@TheBridge_Tech
·
13 jun.
¡Últimasentradas! El lunes 27 de junio acogeremos la grabación de ""El sentido de la vida ya no es 42"" un episodio del podcast de @HeavyMental_es, donde presentarán ""El pequeño libro de la filosofía estoica"" de @Alienta Si quieres asistir como públicohttps://bit.ly/3xoiW1g
4
2
6",👉,4,2,6,['https://pbs.twimg.com/profile_images/1546415533909737474/UgLpusY5_mini.jpg'],https://twitter.com/HeavyMental_es/status/1536310702876549123
2,Javi Pérez Learning by doing.,@JaviMostoles,2022-06-13T11:42:21.000Z,"Javi Pérez Learning by doing.
@JaviMostoles
·
13 jun.","Lo conseguí!!! Gracias 
@TheBridge_Tech
  @HeavyMental_es
The Bridge
@TheBridge_Tech
·
13 jun.
¡Últimasentradas! El lunes 27 de junio acogeremos la grabación de ""El sentido de la vida ya no es 42"" un episodio del podcast de @HeavyMental_es, donde presentarán ""El pequeño libro de la filosofía estoica"" de @Alienta Si quieres asistir como públicohttps://bit.ly/3xoiW1g
1",⚡ 😎 🦾 💻 📚 🚀 👉,,,1,['https://pbs.twimg.com/profile_images/1546415533909737474/UgLpusY5_mini.jpg'],https://twitter.com/JaviMostoles/status/1536313018321190912
3,VLCTechHub,@VLCTechHub,2022-06-15T07:00:34.000Z,"VLCTechHub
@VLCTechHub
·
15 jun.","Hoy 
@TheBridge_Tech
 a las 18:00: Taller Data Science Valencia: Mi primera aplicación de web de IA https://vlctechhub.org/events/taller-data-science-valencia-mi-primera-aplicacion-de-web-de-ia-6298f56ecb78…
1
1",,,1,1,[],https://twitter.com/VLCTechHub/status/1536966880866586626
4,Mulder,@Mulder01198676,2022-06-13T15:10:50.000Z,"Mulder
@Mulder01198676
·
13 jun.","Respondiendo a 
@HeavyMental_es
 @TheBridge_Tech
 y 6 más
Están cotizadísimas!... las entradas  
@HeavyMental_es
 son el Dogecoin del universo podcasting. #Tothemoooooon
GIF
ALT
2",,,,2,['https://pbs.twimg.com/tweet_video_thumb/FVJEQkXXwAI8J_A.jpg'],https://twitter.com/Mulder01198676/status/1536365482680401921
5,The Bridge,@TheBridge_Tech,2022-06-13T11:31:04.000Z,"The Bridge
@TheBridge_Tech
·
13 jun.","¡Últimasentradas! El lunes 27 de junio acogeremos la grabación de ""El sentido de la vida ya no es 42"" un episodio del podcast de 
@HeavyMental_es
, donde presentarán ""El pequeño libro de la filosofía estoica"" de 
@Alienta
 Si quieres asistir como públicohttps://bit.ly/3xoiW1g
Heavy Mental
@HeavyMental_es
·
11 jun.
27/7 - 7:30PM - PODCAST PRESENCIAL
MADRID, @TheBridge_Tech (Recoletos,15)
SÓLO  ENTRADAS

 ""EL SENTIDO DE LA VIDA YA NO ES 42""

 https://eventbrite.es/e/entradas-el-sentido-de-la-vida-ya-no-es-42-podcast-en-directo-by-heavy-mental-353691710427…

Invitado: @GuillermoDeHaro con @Recuenco ha escrito ""El pequeño libro de la filosofía estoica"" de @alienta
Mostrar este hilo
6
4
4",👉 🚨 🎙 📌 🔞 🍆 🔝 🔗,6,4,4,['https://pbs.twimg.com/profile_images/1391818657714606085/z8oVx3-c_mini.jpg'],https://twitter.com/TheBridge_Tech/status/1536310176801857538
6,The Bridge,@TheBridge_Tech,2022-06-14T14:01:48.000Z,"The Bridge
@TheBridge_Tech
·
14 jun.","¡Lanzamos las becas 
@viewnext
 para estudiar #Cloud & #DevOps ! Si quieres formarte en una profesión con futuro y alta demanda, infórmate sobre las becas para estudiar un #bootcamp en 
@TheBridge_Tech
  Solicita la tuya  https://bit.ly/3Qjf622
1",☁ 🙌 ➡,,,1,['https://pbs.twimg.com/media/FVN-DYaWIAEg3Wq?format=jpg&name=small'],https://twitter.com/TheBridge_Tech/status/1536710498712006660
7,Sergio Berbis,@Sergio_Berbis,2022-06-13T08:42:06.000Z,"Sergio Berbis
@Sergio_Berbis
·
13 jun.","Respondiendo a 
@HeavyMental_es
 @PesetJairo
 y 4 más
Inocente de mi, que lo daba por hecho...
2",,,,2,[],https://twitter.com/Sergio_Berbis/status/1536267654717132801
8,Pablo J. Contreras.,@pcontrer,2022-06-13T11:34:19.000Z,"Pablo J. Contreras.
@pcontrer
·
13 jun.","En respuesta a 
@TheBridge_Tech
 @HeavyMental_es
 y 
@Alienta
¡La tengo!
2",,,,2,[],https://twitter.com/pcontrer/status/1536310998319210496
9,Jairo P,@PesetJairo,2022-06-13T12:18:02.000Z,"Jairo P
@PesetJairo
·
13 jun.","Respondiendo a 
@HeavyMental_es
 @TheBridge_Tech
 y 6 más
Gracias por intentarlo pero las señales me dicen que no debía estar (mala suerte que trabajando 3h sueltas los lunes me haya pillado trabajando xdd). Me tocará esperarme a la edición de Valencia ",🔥 🤘 😉,,,,[],https://twitter.com/PesetJairo/status/1536321996367224838
10,Bill Murphy,@wmurphy,2022-06-13T11:38:00.000Z,"Bill Murphy
@wmurphy
·
13 jun.","En respuesta a 
@TheBridge_Tech
 @HeavyMental_es
 y 
@Alienta
¡Y yo! Que buena forma de empezar la semana.
1",,,,1,[],https://twitter.com/wmurphy/status/1536311923423203331
11,Nacho CG,@na5ho,2022-06-13T19:16:51.000Z,"Nacho CG
@na5ho
·
13 jun.","Respondiendo a 
@HeavyMental_es
 @TheBridge_Tech
 y 7 más
No ha podido ser, otra vez será.  Gracias en cualquier caso por la iniciativa 
2",😉,,,2,[],https://twitter.com/na5ho/status/1536427396437577728
12,Startup Valencia,@Startup_VLC,2022-06-21T08:35:00.000Z,"Startup Valencia
@Startup_VLC
·
21 jun.","¿Quieres aprender sobre #ciberseguridad? 

La aceleradora de #talento digital 
@TheBridge_Tech
 organiza esta tarde un taller en #Valencia en el que aprenderás a utilizar algunas herramientas básicas de la mano de los mejores profesores 

¡Regístrate!  http://bit.ly/3b8LXGI
4",👥 ✍,,,4,['https://pbs.twimg.com/media/FVtfdDgWYAEhhdE?format=jpg&name=small'],https://twitter.com/Startup_VLC/status/1539164971765989378
13,Mulder,@Mulder01198676,2022-06-22T11:07:02.000Z,"Mulder
@Mulder01198676
·
22 jun.","Respondiendo a 
@HeavyMental_es
 @TheBridge_Tech
 y 3 más
¡¡¡Que poco queda ya para el evento!!! 
@_miki
 te pillo en ""La Coru"" y nos hacemos un blablacar? podría salir un podcast dpm de ahí .
GIF
ALT
3",😂,,,3,['https://pbs.twimg.com/tweet_video_thumb/FV2ixFaXoAEoowp.jpg'],https://twitter.com/Mulder01198676/status/1539565619728814082
14,danilo huertas,@danilohuertas_h,2022-06-21T16:14:58.000Z,"danilo huertas
@danilohuertas_h
·
21 jun.","Respondiendo a 
@TheBridge_Tech
 @LORIOTio
 y 3 más
Buenas, disculpad, se está emitiendo ya la charla sobre GOOGLE ADS desde cero??

No puedo acceder desde ZOOM",,,,,[],https://twitter.com/danilohuertas_h/status/1539280728978071553
15,The Bridge,@TheBridge_Tech,2022-06-20T13:52:04.000Z,"The Bridge
@TheBridge_Tech
·
20 jun.","¡Llega la 1ª #TechTalks en #Valencia! Un encuentro con 
@LORIOTio
 @sesamehr_
 y 
@feending
 en el que nos contarán su visión de negocio ligada a la tecnología y debatiremos sobre la importancia de perfiles digitales ¡Saca ya tu entrada!
@uchceu
eventbrite.es
Tech Talks Valencia: Innovación y digitalización en el sector empresarial
Las mejores empresas del sector tech de Valencia a tu alcance
1
1",🙌 🎟 👇,1,,1,['https://pbs.twimg.com/card_img/1578327248817504258/2HwFMDS1?format=jpg&name=small'],https://twitter.com/TheBridge_Tech/status/1538882376138477569
16,The Bridge,@TheBridge_Tech,2022-06-22T10:08:28.000Z,"The Bridge
@TheBridge_Tech
·
22 jun.","Miércoles 6 de julio, 18h evento con 
@GoogleES
 donde hablaremos de #CloudComputing las nuevas herramientas como #kubernetes #Serverless #CI #CD y los perfiles que actualmente necesitan las empresas #devops #cloud 

Saca ya tus entradas
eventbrite.es
Un paseo por la nube con Google
Acércate al mundo Cloud con Google",📢 ☁ 🎟 👇,,,,['https://pbs.twimg.com/card_img/1578327248851042307/B52wpt3V?format=jpg&name=small'],https://twitter.com/TheBridge_Tech/status/1539550883331166213
17,Miguel barros guerra,@Bombabarros,2022-06-27T03:46:59.000Z,"Miguel barros guerra
@Bombabarros
·
27 jun.","Respondiendo a 
@HeavyMental_es
 @TheBridge_Tech
 y 3 más
El plan // La ejecución
1
3
4",,1,3,4,"['https://pbs.twimg.com/media/FWOt_RpXoAA7ZLU?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FWOt_wJWQAAvO6v?format=jpg&name=small']",https://twitter.com/Bombabarros/status/1541266817624203264
18,Gonzalo Osés,@designetworking,2022-06-27T18:49:06.000Z,"Gonzalo Osés
@designetworking
·
27 jun.","Primera micro clase de un profe de 
@TheBridge_Tech
 a los 
@HeavyMental_es
 & 
@GuillermoDeHaro
3",,,,3,['https://pbs.twimg.com/media/FWR8eeRXEAAgKdG?format=jpg&name=small'],https://twitter.com/designetworking/status/1541493843316580354
19,diegodl,@diegodl,2022-06-27T17:45:38.000Z,"diegodl
@diegodl
·
27 jun.","Hoy tenemos invitados en 
@TheBridge_Tech
. Los chicos de 
@HeavyMental_es
 y 
@GuillermoDeHaro
  hablando sobre el sentido de la vida, o algo
2",,,,2,['https://pbs.twimg.com/media/FWRt8-YXkAAk3fI?format=jpg&name=small'],https://twitter.com/diegodl/status/1541477869620281345
20,Gonzalo Osés,@designetworking,2022-06-27T23:23:58.000Z,"Gonzalo Osés
@designetworking
·
28 jun.","Gracias 
@HeavyMental_es
 por la elocuencia de 
@Recuenco
, la disciplina de 
@DavidAlayon
, y la perfecta felicidad de 
@_miki
 para crear el ágora en 
@TheBridge_Tech
: 
@GuillermoDeHaro
 @jatorrero
 @PedroAeriaa
 @mevasjimenez
 @joobid
 @marianosarmient
 @fyustas1
 @_sergiosanjuan
 y otros 42
10",👏,,,10,['https://pbs.twimg.com/media/FWS7ZRaWAAU-X6b?format=jpg&name=small'],https://twitter.com/designetworking/status/1541563017241976835
21,Carlos Gonzalez,@CarlosLGonzalez,2022-06-26T13:53:42.000Z,"Carlos Gonzalez
@CarlosLGonzalez
·
26 jun.","En respuesta a 
@HeavyMental_es
 y 
@TheBridge_Tech
No va en directo por ninguna plataforma!!???
1
1",,1,,1,[],https://twitter.com/CarlosLGonzalez/status/1541057117045530626
22,Heavy Mental,@HeavyMental_es,2022-06-27T23:05:58.000Z,"Heavy Mental
@HeavyMental_es
·
28 jun.","Respondiendo a 
@Bombabarros
 @Mulder01198676
 y 6 más
Gracias por venir y buen viaje de vuelta… eres top!!
3",,,,3,[],https://twitter.com/HeavyMental_es/status/1541558488001822725
23,Juan Antonio Torrero,@jatorrero,2022-06-27T09:08:21.000Z,"Juan Antonio Torrero
@jatorrero
·
27 jun.","En respuesta a 
@HeavyMental_es
 y 
@TheBridge_Tech
Si al final el ""de pedir"" funciona
GIF
ALT
1",,,,1,['https://pbs.twimg.com/tweet_video_thumb/FWP3jhDXoAAb5cP.jpg'],https://twitter.com/jatorrero/status/1541347694802882567
24,Roberto Ballester,@Roberballester,2022-06-27T15:50:47.000Z,"Roberto Ballester
@Roberballester
·
27 jun.","En respuesta a 
@TheBridge_Tech
 @HeavyMental_es
 y 
@Alienta
Casi! Justo estaba rellenando datos 
1",🤣,,,1,[],https://twitter.com/Roberballester/status/1541448970123223040
25,Heavy Mental,@HeavyMental_es,2022-06-27T12:51:00.000Z,"Heavy Mental
@HeavyMental_es
·
27 jun.","Respondiendo a 
@joobid
 @TheBridge_Tech
 y 2 más
Si claro, Miki no tiene otra cosa que hacer
1
1",,1,,1,[],https://twitter.com/HeavyMental_es/status/1541403726182858753
26,Javier G. Recuenco,@Recuenco,2022-06-27T12:50:38.000Z,"Javier G. Recuenco
@Recuenco
·
27 jun.","Respondiendo a 
@joobid
 @HeavyMental_es
 y 2 más
Déjalo cortocircuitado en Always on.
1",,,,1,[],https://twitter.com/Recuenco/status/1541403632104620033
27,Jorge Ordovás,@joobid,2022-06-27T12:51:58.000Z,"Jorge Ordovás
@joobid
·
27 jun.","Respondiendo a 
@HeavyMental_es
 @TheBridge_Tech
 y 2 más
Cada vez que pulsas la frase es distinta, no hace falta ni editar luego...
1",,,,1,[],https://twitter.com/joobid/status/1541403967581831169
28,Gonzalo Osés,@designetworking,2022-06-27T18:59:33.000Z,"Gonzalo Osés
@designetworking
·
27 jun.","Respondiendo a 
@joobid
 @GuillermoDeHaro
 y 3 más
Inspiración para innovar. La clave no es quien inventa, si no, quién traduce a la masa citando a quien inventa.
1",,,,1,[],https://twitter.com/designetworking/status/1541496472541315073
29,Mulder,@Mulder01198676,2022-06-26T13:19:57.000Z,"Mulder
@Mulder01198676
·
26 jun.","En respuesta a 
@HeavyMental_es
 y 
@TheBridge_Tech
GIF
ALT
1",,,,1,['https://pbs.twimg.com/tweet_video_thumb/FWLnjN4XkAAZSAC.jpg'],https://twitter.com/Mulder01198676/status/1541048623261171718
30,Heavy Mental,@HeavyMental_es,2022-06-27T15:35:47.000Z,"Heavy Mental
@HeavyMental_es
·
27 jun.","Respondiendo a 
@vmcasamayor
 @TheBridge_Tech
 y 2 más
 @TheBridge_Tech
1",🙄,,,1,[],https://twitter.com/HeavyMental_es/status/1541445192925978625
31,The Bridge,@TheBridge_Tech,2022-06-28T07:03:36.000Z,"The Bridge
@TheBridge_Tech
·
28 jun.","Gracias 
@HeavyMental_es
 por la tarde de ayer y a todos los asistentes ¡Éxito absoluto! 
Heavy Mental
@HeavyMental_es
·
28 jun.
Graciassss a todos 

Nos vemos 9/julio en el directo final de temporada en Twitch (avisaremos por aquí) y a partir de septiembre con más HEAVY, pero sobre todo con mucho MENTAL.
4
22",🎙 👏 😍,,4,22,"['https://pbs.twimg.com/profile_images/1391818657714606085/z8oVx3-c_mini.jpg', 'https://pbs.twimg.com/media/FWUTyrlWIAEAX4O?format=jpg&name=small']",https://twitter.com/TheBridge_Tech/status/1541678686751133698
32,Heavy Mental,@HeavyMental_es,2022-06-29T18:00:06.000Z,"Heavy Mental
@HeavyMental_es
·
29 jun.","El sentido de la vida ya no es 42 -- Light Mental edición especial 
@TheBridge_Tech
Heavy Mental
@HeavyMental_es
El sentido de la vida ya no es 42 -- Light Mental edición especial @TheBridge_Tech
2
6
22",,2,6,22,"['https://pbs.twimg.com/card_img/1578346480003342336/rVIcDPaW?format=jpg&name=orig', 'https://pbs.twimg.com/profile_images/1391818657714606085/z8oVx3-c_mini.jpg']",https://twitter.com/HeavyMental_es/status/1542206287915585536
33,Berta Otero,@bertinha84,2022-07-01T07:55:46.000Z,"Berta Otero
@bertinha84
·
1 jul.","Adeus ríos, adeus fontes...Terriña, volvo pronto. Madrid allá voy! Ya se ve cerca el final del bootcamp y voy a terminarlo de forma presencial. Un mes, un último empujón. 
@TheBridge_Tech
1
1
5",,1,1,5,[],https://twitter.com/bertinha84/status/1542778977718341632
34,Javier Polaris,@JavierPolaris,2022-06-29T18:09:38.000Z,"Javier Polaris
@JavierPolaris
·
29 jun.","No todo va a ser trabajar!! Equipo UCuber #TheBridge 
@TheBridge_Tech
  #FullStack #javascript30",,,,,['https://pbs.twimg.com/media/FWcGoKeX0AguDJt?format=jpg&name=small'],https://twitter.com/JavierPolaris/status/1542208686881390592
35,Startup Valencia,@Startup_VLC,2022-07-01T15:09:00.000Z,"Startup Valencia
@Startup_VLC
·
1 jul.","Atitlan liderará la ronda de financiación de 5 millones de euros de la escuela 
@TheBridge_Tech
 

La empresa de formación de #talento ha irrumpido en el sector de la educación poniendo el foco en la #digitalización y las nuevas tecnologías 
economia3.com
El yerno de Juan Roig invierte en el sector educativo con The Bridge
La inversora del yerno de Juan Roig liderará la ronda de financiación de 5 millones de euros que ha obtenido The Bridge.
4",💰 📚,,,4,['https://pbs.twimg.com/card_img/1578340831840419840/Pn_LIFPk?format=jpg&name=small'],https://twitter.com/Startup_VLC/status/1542888003965689858
36,Mulder,@Mulder01198676,2022-06-28T12:50:15.000Z,"Mulder
@Mulder01198676
·
28 jun.","Respondiendo a 
@moquintana
 @GuillermoDeHaro
 y 5 más
Por supuesto! 
4",😉,,,4,[],https://twitter.com/Mulder01198676/status/1541765922775498756
37,Mulder,@Mulder01198676,2022-06-28T13:08:09.000Z,"Mulder
@Mulder01198676
·
28 jun.","Respondiendo a 
@moquintana
 @GuillermoDeHaro
 y 5 más
Ups!!! Lo siento 
@moquintana
 en nada estas haciendo nuevas excursiones por la jungla! 
1
5",😃,1,,5,[],https://twitter.com/Mulder01198676/status/1541770429097975815
38,COITCV/AVIT,@COITCV,2022-06-30T07:51:21.000Z,"COITCV/AVIT
@COITCV
·
30 jun."," Gracias al convenio firmado con 
@TheBridge_Tech
 trabajaremos de forma conjunta en la realización de cursos, jornadas, actividades formativas, foros de discusión y asesoramiento mutuo en las acciones desarrolladas por ambas entidades. 

https://coitcv.org/2022/06/29/the-bridge-firma-un-convenio-de-colaboracion-con-coitcv-avit/…
1",🤝,,,1,[],https://twitter.com/COITCV/status/1542415478618050560
39,Carlos M. Diaz,@carlosmdh,2022-06-29T19:16:03.000Z,"Carlos M. Diaz
@carlosmdh
·
29 jun.","Respondiendo a 
@HeavyMental_es
 @UbaldoHervas
 y 5 más
Te me tienes que cuidar ehhhh

y por cierto, colleja por venir a Madrid, hacer un podcast en directo y no avisarme

Capullo!!!
1
4",🤣 🤣 🤣 🤣,1,,4,[],https://twitter.com/carlosmdh/status/1542225403242332161
40,Antonio Muñiz,@Antonio_Muniz_C,2022-06-28T17:07:39.000Z,"Antonio Muñiz
@Antonio_Muniz_C
·
28 jun.","Respondiendo a 
@GuillermoDeHaro
 @Mulder01198676
 y 5 más
Jajajaja lo voy a buscar solo para darle laik, errete y suscribirme. 

Puto genio Mulder
3",,,,3,[],https://twitter.com/Antonio_Muniz_C/status/1541830701863034880
41,Amalio A. Rey,@arey,2022-06-28T06:51:45.000Z,"Amalio A. Rey
@arey
·
28 jun.","En respuesta a 
@Recuenco
Que guay, supervisora de lujo y buen sitio. Saludos a los amigos de 
@TheBridge_Tech
 @nodosenlared
1
3",,,1,3,[],https://twitter.com/arey/status/1541675702487072768
42,Love is my message,@k4rliky,2022-06-28T11:01:38.000Z,"Love is my message
@k4rliky
·
28 jun.","Respondiendo a 
@HeavyMental_es
 @DavidAlayon
 y 4 más
Recuenco haciendo Break dance, lo próximo beatbox
5",,,,5,[],https://twitter.com/k4rliky/status/1541738588190216198
43,didacjo,@didacjo1,2022-06-28T13:37:58.000Z,"didacjo
@didacjo1
·
28 jun.","Respondiendo a 
@HeavyMental_es
 @DavidAlayon
 y 4 más
No os olvidéis de cargar bien la pala que llega la recesión
GIF
ALT
2",,,,2,[],https://twitter.com/didacjo1/status/1541777929968967683
44,FarmaInquieto,@FarmaInquieto,2022-06-28T10:47:39.000Z,"FarmaInquieto
@FarmaInquieto
·
28 jun.","Respondiendo a 
@PauMugarra
 @HeavyMental_es
 y 5 más
Nunca dejará de ser el Enfant terrible
2",,,,2,[],https://twitter.com/FarmaInquieto/status/1541735069995376640
45,Emprenemjunts,@emprenemjunts,2022-07-02T07:30:07.000Z,"Emprenemjunts
@emprenemjunts
·
2 jul."," @ceeivalencia
 y 
@TheBridge_Tech
, primera aceleradora de talento digital, firman un convenio de colaboración: http://ow.ly/54Up50JM4eM

 Complementar la formación técnica del nuevo talento, entre sus principales objetivos.
ceeivalencia.emprenemjunts.es
CEEI Valencia y The Bridge, primera aceleradora de talento digital, firman un convenio de colabor...
Complementar la formación técnica del nuevo talento, entre sus principales objetivos Ceei Valencia y The Bridge, empresa de formación de talento y competencias digitales, han firmado un acuerdo marco...
2",🎯,,,2,['https://pbs.twimg.com/card_img/1577897650615091200/6cqgTHTh?format=jpg&name=small'],https://twitter.com/emprenemjunts/status/1543134908935200769
46,Pau Mugarra,@PauMugarra,2022-06-28T06:48:31.000Z,"Pau Mugarra
@PauMugarra
·
28 jun.","Respondiendo a 
@HeavyMental_es
 @DavidAlayon
 y 4 más
Qué le pasa a Javier en la foto? Esa pose no es normal 
3
2",🙈,3,,2,[],https://twitter.com/PauMugarra/status/1541674892390719490
47,Mónica Quintana,@moquintana,2022-06-28T13:07:02.000Z,"Mónica Quintana
@moquintana
·
28 jun.","Respondiendo a 
@Mulder01198676
 @GuillermoDeHaro
 y 5 más
Poca broma con lo de romperse las piernas. ¡Ains!
1
4",,1,,4,[],https://twitter.com/moquintana/status/1541770149031809024
48,Carlos M. Diaz,@carlosmdh,2022-06-29T19:10:52.000Z,"Carlos M. Diaz
@carlosmdh
·
29 jun.","Respondiendo a 
@HeavyMental_es
 @UbaldoHervas
 y 5 más
El segundo por la derecha de la primera fila es mikki?
1
3",,1,,3,[],https://twitter.com/carlosmdh/status/1542224097089822726
49,Sergio Berbis,@Sergio_Berbis,2022-06-28T19:02:45.000Z,"Sergio Berbis
@Sergio_Berbis
·
28 jun.","Respondiendo a 
@fernandojsg
 @HeavyMental_es
 y 5 más
Y queremos.
3",,,,3,[],https://twitter.com/Sergio_Berbis/status/1541859665570664448
50,"Eioua, o aprendiz",@Eioua_aprendiz,2022-07-01T17:52:23.000Z,"Eioua, o aprendiz
@Eioua_aprendiz
·
1 jul.","En respuesta a 
@HeavyMental_es
 y 
@TheBridge_Tech
Por favor, a ver si podeis empezar a mejorar el sonido. Muchas veces el primer paso es más de la mitad del camino",,,,,[],https://twitter.com/Eioua_aprendiz/status/1542929123546464261
51,Mónica Quintana,@moquintana,2022-06-28T13:09:30.000Z,"Mónica Quintana
@moquintana
·
28 jun.","Respondiendo a 
@GuillermoDeHaro
 @Mulder01198676
 y 5 más
Siempre se puede firmar el pollo en lugar de la pata. Ya tú sabeh
2",,,,2,[],https://twitter.com/moquintana/status/1541770768123658243
52,Mónica Quintana,@moquintana,2022-06-28T13:08:58.000Z,"Mónica Quintana
@moquintana
·
28 jun.","Respondiendo a 
@Mulder01198676
 @GuillermoDeHaro
 y 5 más
Jajaja, eso espero, sí
2",,,,2,[],https://twitter.com/moquintana/status/1541770632991764480
53,carlosmcabo,@carlosmcabo,2022-06-29T20:07:27.000Z,"carlosmcabo
@carlosmcabo
·
29 jun.","En respuesta a 
@HeavyMental_es
 y 
@TheBridge_Tech
Buscando el pollo 
1",🐣,,,1,[],https://twitter.com/carlosmcabo/status/1542238336894603265
